state,year,month,rate
1,2000,1,0.138704565932383
1,2000,2,0.133156383295088
1,2000,3,0.205282757579927
1,2000,4,0.188638209668041
1,2000,5,0.160897296481565
1,2000,6,0.171993661756155
1,2000,7,0.155349113844269
1,2000,8,0.155349113844269
1,2000,9,0.138704565932383
1,2000,10,0.138704565932383
1,2000,11,0.183090027030746
1,2000,12,0.194186392305336
2,2000,1,0.202483910628461
2,2000,2,0.129589702802215
2,2000,3,0.1052916335268
2,2000,4,0.137689059227354
2,2000,5,0.186285197778185
2,2000,6,0.153887772077631
2,2000,7,0.121490346377077
2,2000,8,0.202483910628461
2,2000,9,0.153887772077631
2,2000,10,0.145788415652492
2,2000,11,0.178185841353046
2,2000,12,0.186285197778185
3,2000,1,0.069436143794318
3,2000,2,0.079355592907792
3,2000,3,0.128952838475162
3,2000,4,0.089275042021266
3,2000,5,0.094234766578003
3,2000,6,0.069436143794318
3,2000,7,0.069436143794318
3,2000,8,0.04959724556737
3,2000,9,0.064476419237581
3,2000,10,0.089275042021266
3,2000,11,0.084315317464529
3,2000,12,0.09919449113474
1,2001,1,0.086636608859664
1,2001,2,0.137599319953583
1,2001,3,0.168176946609935
1,2001,4,0.137599319953583
1,2001,5,0.122310506625407
1,2001,6,0.137599319953583
1,2001,7,0.157984404391151
1,2001,8,0.127406777734799
1,2001,9,0.152888133281759
1,2001,10,0.096829151078447
1,2001,11,0.173273217719327
1,2001,12,0.137599319953583
2,2001,1,0.116018197454271
2,2001,2,0.174027296181406
2,2001,3,0.094264785431595
2,2001,4,0.130520472136055
2,2001,5,0.101515922772487
2,2001,6,0.108767060113379
2,2001,7,0.203031845544974
2,2001,8,0.130520472136055
2,2001,9,0.145022746817838
2,2001,10,0.116018197454271
2,2001,11,0.137771609476946
2,2001,12,0.137771609476946
3,2001,1,0.09622905815122
3,2001,2,0.050405697126829
3,2001,3,0.114558402560976
3,2001,4,0.073317377639025
3,2001,5,0.054988033229269
3,2001,6,0.054988033229269
3,2001,7,0.114558402560976
3,2001,8,0.091646722048781
3,2001,9,0.114558402560976
3,2001,10,0.091646722048781
3,2001,11,0.091646722048781
3,2001,12,0.123723074765854
1,2002,1,0.153833938744318
1,2002,2,0.109172472657258
1,2002,3,0.213382560193732
1,2002,4,0.173683479227456
1,2002,5,0.129022013140396
1,2002,6,0.163758708985887
1,2002,7,0.173683479227456
1,2002,8,0.173683479227456
1,2002,9,0.2233073304353
1,2002,10,0.173683479227456
1,2002,11,0.13398439826118
1,2002,12,0.119097242898827
2,2002,1,0.130417473195777
2,2002,2,0.137281550732397
2,2002,3,0.144145628269017
2,2002,4,0.137281550732397
2,2002,5,0.205922326098596
2,2002,6,0.123553395659157
2,2002,7,0.151009705805637
2,2002,8,0.102961163049298
2,2002,9,0.109825240585918
2,2002,10,0.199058248561976
2,2002,11,0.157873783342257
2,2002,12,0.096097085512678
3,2002,1,0.120916980640296
3,2002,2,0.06717610035572
3,2002,3,0.062697693665339
3,2002,4,0.080611320426864
3,2002,5,0.098524947188389
3,2002,6,0.058219286974957
3,2002,7,0.06717610035572
3,2002,8,0.085089727117245
3,2002,9,0.076132913736483
3,2002,10,0.085089727117245
3,2002,11,0.053740880284576
3,2002,12,0.058219286974957
1,2003,1,0.123539560455747
1,2003,2,0.123539560455747
1,2003,3,0.133042603567727
1,2003,4,0.099781952675796
1,2003,5,0.142545646679708
1,2003,6,0.133042603567727
1,2003,7,0.076024344895844
1,2003,8,0.137794125123718
1,2003,9,0.128291082011737
1,2003,10,0.18055781912763
1,2003,11,0.080775866451835
1,2003,12,0.204315426907581
2,2003,1,0.151243351868316
2,2003,2,0.184122341404906
2,2003,3,0.17097074559027
2,2003,4,0.177546543497588
2,2003,5,0.164394947682952
2,2003,6,0.184122341404906
2,2003,7,0.144667553960998
2,2003,8,0.098636968609771
2,2003,9,0.098636968609771
2,2003,10,0.105212766517089
2,2003,11,0.190698139312224
2,2003,12,0.13809175605368
3,2003,1,0.074616678758958
3,2003,2,0.057059813168615
3,2003,3,0.043892163975858
3,2003,4,0.048281380373443
3,2003,5,0.070227462361372
3,2003,6,0.070227462361372
3,2003,7,0.100951977144472
3,2003,8,0.079005895156544
3,2003,9,0.083395111554129
3,2003,10,0.074616678758958
3,2003,11,0.061449029566201
3,2003,12,0.092173544349301
1,2004,1,0.102361069326037
1,2004,2,0.137964919526398
1,2004,3,0.169118288451713
1,2004,4,0.133514438251353
1,2004,5,0.120162994426217
1,2004,6,0.133514438251353
1,2004,7,0.129063956976307
1,2004,8,0.146865882076488
1,2004,9,0.142415400801443
1,2004,10,0.129063956976307
1,2004,11,0.129063956976307
1,2004,12,0.133514438251353
2,2004,1,0.140952187179602
2,2004,2,0.079668627536297
2,2004,3,0.220620814715899
2,2004,4,0.165465611036924
2,2004,5,0.11643876332228
2,2004,6,0.067411915607636
2,2004,7,0.159337255072593
2,2004,8,0.140952187179602
2,2004,9,0.153208899108263
2,2004,10,0.110310407357949
2,2004,11,0.159337255072593
2,2004,12,0.085796983500627
3,2004,1,0.070876833990195
3,2004,2,0.10006141269204
3,2004,3,0.07504605951903
3,2004,4,0.054199931874855
3,2004,5,0.087553736105535
3,2004,6,0.10839986374971
3,2004,7,0.087553736105535
3,2004,8,0.09172296163437
3,2004,9,0.07504605951903
3,2004,10,0.0833845105767
3,2004,11,0.079215285047865
3,2004,12,0.095892187163205
1,2005,1,0.074541291527264
1,2005,2,0.136659034466651
1,2005,3,0.120094303016148
1,2005,4,0.10767075442827
1,2005,5,0.10767075442827
1,2005,6,0.111811937290896
1,2005,7,0.070400108664638
1,2005,8,0.120094303016148
1,2005,9,0.10767075442827
1,2005,10,0.095247205840393
1,2005,11,0.10767075442827
1,2005,12,0.120094303016148
2,2005,1,0.129874896594172
2,2005,2,0.118581427325114
2,2005,3,0.163755304401347
2,2005,4,0.112934692690584
2,2005,5,0.163755304401347
2,2005,6,0.180695508304935
2,2005,7,0.067760815614351
2,2005,8,0.135521631228701
2,2005,9,0.090347754152468
2,2005,10,0.095994488786997
2,2005,11,0.084701019517938
2,2005,12,0.118581427325114
3,2005,1,0.060469680099267
3,2005,2,0.068532304112503
3,2005,3,0.07256361611912
3,2005,4,0.048375744079414
3,2005,5,0.07256361611912
3,2005,6,0.048375744079414
3,2005,7,0.060469680099267
3,2005,8,0.052407056086031
3,2005,9,0.092720176152209
3,2005,10,0.064500992105885
3,2005,11,0.088688864145592
3,2005,12,0.052407056086031
1,2006,1,0.112522599963269
1,2006,2,0.124578592816477
1,2006,3,0.128597257100879
1,2006,4,0.116541264247672
1,2006,5,0.140653249954087
1,2006,6,0.116541264247672
1,2006,7,0.132615921385282
1,2006,8,0.168783899944904
1,2006,9,0.108503935678867
1,2006,10,0.148690578522892
1,2006,11,0.100466607110062
1,2006,12,0.144671914238489
2,2006,1,0.080909334617814
2,2006,2,0.118667024106127
2,2006,3,0.064727467694251
2,2006,4,0.102485157182564
2,2006,5,0.11327306846494
2,2006,6,0.075515378976626
2,2006,7,0.086303290259002
2,2006,8,0.080909334617814
2,2006,9,0.11327306846494
2,2006,10,0.102485157182564
2,2006,11,0.080909334617814
2,2006,12,0.070121423335439
3,2006,1,0.072015151987978
3,2006,2,0.056011784879539
3,2006,3,0.060012626656649
3,2006,4,0.072015151987978
3,2006,5,0.084017677319308
3,2006,6,0.056011784879539
3,2006,7,0.084017677319308
3,2006,8,0.056011784879539
3,2006,9,0.048010101325319
3,2006,10,0.064013468433759
3,2006,11,0.048010101325319
3,2006,12,0.088018519096418
1,2007,1,0.120025253313297
1,2007,2,0.076015993765088
1,2007,3,0.152031987530176
1,2007,4,0.160033671084396
1,2007,5,0.084017677319308
1,2007,6,0.100021044427748
1,2007,7,0.128026936867517
